name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Wild Horses,Old & In The Way,Breakdown,4xMmjrefx4NlEOHfGu3EQf,278533,False,spotify:track:4xMmjrefx4NlEOHfGu3EQf,Unknown,0.45,0.313,9,-15.786,1,0.0309,0.646,0.24,0.441,0.547,100.299,4
Multi-Family Garage Sale (Bargain-Bin Mix),Land of the Loops,Bundle of Joy,0hia3XiJkFZqBkToRyX83g,255133,False,spotify:track:0hia3XiJkFZqBkToRyX83g,Unknown,0.837,0.683,2,-13.546,1,0.0979,0.447,0.68,0.179,0.785,102.056,4
Lazybones,Leon Redbone,On The Track,6gPIzzQxFn49zaBWpjGGtF,186943,False,spotify:track:6gPIzzQxFn49zaBWpjGGtF,Unknown,0.688,0.0539,6,-17.911,1,0.0627,0.919,0.00246,0.129,0.431,101.407,4
Nuclear War,Sun Ra & His Arkestra,A Fireside Chat with Lucifer,1iru5FcxQDCigxWgFxIRn9,463913,True,spotify:track:1iru5FcxQDCigxWgFxIRn9,Unknown,0.581,0.395,4,-13.54,1,0.148,0.758,0,0.24,0.363,84.825,4
Steppin' Out,Steel Pulse,Earth Crisis,7cxJUcO4HTrJ2jniaKOAaw,245786,False,spotify:track:7cxJUcO4HTrJ2jniaKOAaw,Unknown,0.866,0.56,5,-9.848,0,0.0501,0.0574,0,0.0825,0.961,140.484,4
No One's Gonna Love You,Nicole Willis,Keep Reachin' Up,0veQRC8nSOecW4yyWe4YNC,366240,False,spotify:track:0veQRC8nSOecW4yyWe4YNC,Unknown,0.352,0.631,8,-5.899,0,0.0329,0.0824,0.0222,0.0883,0.419,173.979,3
Love Is Strange - 1993 Digital Remaster,Wings,Wild Life,0dAm9baKSrUH8b0wKPZCGq,288466,False,spotify:track:0dAm9baKSrUH8b0wKPZCGq,Unknown,0.819,0.34,4,-14.198,1,0.0563,0.0102,0.0013,0.186,0.868,122.074,4
Hey Now (When I Give You All My Lovin'),Romare,"Love Songs, Pt. 1",2LcLiIPArdmrEX5wZAUu2h,146842,False,spotify:track:2LcLiIPArdmrEX5wZAUu2h,Unknown,0.866,0.342,7,-8.42,1,0.0527,0.786,0.231,0.178,0.115,125.426,4
Use Me - Single Version,Bill Withers,Still Bill,0xt3oHUZchlHPhiWXoADM5,222093,False,spotify:track:0xt3oHUZchlHPhiWXoADM5,Unknown,0.766,0.661,11,-10.187,0,0.0542,0.0432,0.00246,0.0762,0.955,154.534,4
99,Hollie Cook,Twice,0ZkSEVvP9SWIRdZUkZUghH,383715,False,spotify:track:0ZkSEVvP9SWIRdZUkZUghH,Unknown,0.823,0.583,10,-9.204,0,0.0609,0.0655,0.121,0.414,0.63,127.202,4
Bron-Y-Aur Stomp - 1990 Remaster,Led Zeppelin,Led Zeppelin III (1994 Remaster),1nb7JepKgfqXDegm4rJha1,256333,False,spotify:track:1nb7JepKgfqXDegm4rJha1,Unknown,0.543,0.518,5,-13.805,1,0.0331,0.0608,0.0796,0.257,0.394,108.396,4
